Model,CV RMSE Mean,CV RMSE Std,CV MAE Mean,CV MAE Std,CV R2 Mean,CV R2 Std
XGBoost,0.33252948169977453,0.014596446556494847,0.24008138139879756,0.007330360588419574,0.7405401152656822,0.023424760223934506
LightGBM,0.33587957551910774,0.014169130747050064,0.2429599680755366,0.007762343471543132,0.7353977999118559,0.021812409868662945
Gradient Boosting,0.3487265314627729,0.016716132571614764,0.25771761108832447,0.008328602230564084,0.7146680909457583,0.02688937226161657
Random Forest,0.3489647937582223,0.014782675736431937,0.2506280173572784,0.007782790755584842,0.7142395182734115,0.025316989837533162
Ridge,0.39166125553504216,0.007141986816944698,0.2862699116299575,0.006765172006532757,0.6403699279463891,0.01936947245428032
Linear Regression,0.3922079654644686,0.0074421245346697786,0.28652360185140396,0.006725573710064475,0.639359564144903,0.01968519295463688
Lasso,0.393892913583954,0.006140195908237331,0.28799375408491357,0.006456134980099135,0.636315652996925,0.01788846466888533
KNN,0.4825869613289123,0.019272880553369245,0.35966952743172553,0.01325677026035999,0.4538148032206418,0.0429423993432283
Decision Tree,0.5009021573105554,0.016380271211178063,0.3526036485201454,0.006208780541849878,0.4111668142108432,0.047938962648255715
